author,paper_count,total_citations,avg_citations
Francisco Herrera,7,12191,1741.5714285714287
Javier Del Ser,7,12100,1728.5714285714287
Natalia Díaz-Rodríguez,5,11023,2204.6
Yogesh K. Dwivedi,12,9816,818.0
Daniel Molina,3,9478,3159.3333333333335
Richard Benjamins,3,9390,3130.0
Matei Zaharia,2,8973,4486.5
Ion Stoica,2,8973,4486.5
Michael Armbrust,1,8946,8946.0
Armando Fox,1,8946,8946.0
Andy Konwinski,1,8946,8946.0
Randy H. Katz,1,8946,8946.0
Anthony D. Joseph,1,8946,8946.0
Ariel Rabkin,1,8946,8946.0
Gunho Lee,1,8946,8946.0
David A. Patterson,1,8946,8946.0
Rean Griffith,1,8946,8946.0
Salvador García,2,8865,4432.5
Siham Tabik,1,8652,8652.0
Sergio Gil-López,1,8652,8652.0
Raja Chatila,1,8652,8652.0
Adrien Bennetot,1,8652,8652.0
Alberto Barbado,1,8652,8652.0
Alejandro Barredo Arrieta,1,8652,8652.0
Ramakrishnan Raman,5,6823,1364.6
Nripendra P. Rana,7,6443,920.4285714285714
Luciano Floridi,23,5264,228.8695652173913
Urs Gasser,4,5110,1277.5
Vinay Chamola,7,4982,711.7142857142857
Laurie Hughes,5,4972,994.4
Arpan Kumar Kar,6,4971,828.5
Marijn Janssen,6,4872,812.0
Maria Bannert,1,4676,4676.0
Oleksandra Poquet,1,4676,4676.0
Enkelejda Kasneci,1,4676,4676.0
Matthias Stadler,1,4676,4676.0
Michael Sailer,1,4676,4676.0
Stefan Küchemann,1,4676,4676.0
Jochen Kühn,1,4676,4676.0
Tina Seidel,1,4676,4676.0
Tilman Michaeli,1,4676,4676.0
Claudia Nerdel,1,4676,4676.0
Kathrin Seßler,1,4676,4676.0
Jürgen Pfeffer,1,4676,4676.0
Stephan Krusche,1,4676,4676.0
Albrecht Schmidt,1,4676,4676.0
Stephan Günnemann,1,4676,4676.0
J. Weller,1,4676,4676.0
Daryna Dementieva,1,4676,4676.0
Gjergji Kasneci,1,4676,4676.0
Eyke Hüllermeier,1,4676,4676.0
Gitta Kutyniok,1,4676,4676.0
Georg Groh,1,4676,4676.0
Frank Fischer,1,4676,4676.0
Giampaolo Viglia,3,4591,1530.3333333333333
Mohsen Guizani,10,4523,452.3
Dimitrios Buhalis,3,4484,1494.6666666666667
Savvas Papagiannidis,3,4450,1483.3333333333333
Abdullah M. Baabdullah,3,4428,1476.0
Robert M. Davison,8,4411,551.375
Jie Xu,2,4380,2190.0
Vikas Hassija,5,4337,867.4
Bernd Carsten Stahl,7,4291,613.0
Soumyadeb Chowdhury,2,4251,2125.5
Nir Kshetri,5,4248,849.6
Suprateek Sarker,2,4229,2114.5
Frantz Rowe,2,4229,2114.5
Rahul Dé,2,4229,2114.5
Rameshwar Dubey,2,4229,2114.5
Michael Wade,2,4229,2114.5
Yves Barlette,2,4229,2114.5
Jochen Wirtz,2,4007,2003.5
Ilias O. Pappas,2,3924,1962.0
Siobhán O’Connor,2,3804,1902.0
John S. Edwards,2,3759,1879.5
Samuel Ribeiro‐Navarrete,2,3721,1860.5
Janarthanan Balakrishnan,2,3721,1860.5
Gareth H. Davies,2,3721,1860.5
Alex Koohang,2,3721,1860.5
Sriparna Basu,2,3721,1860.5
Neeraj Pandey,2,3721,1860.5
Rohita Dwivedi,2,3721,1860.5
Paul Jones,2,3707,1853.5
Sascha Kraus,2,3707,1853.5
Madhusanka Liyanage,9,3667,407.44444444444446
Hanna Kallio,1,3651,3651.0
Anna‐Maija Pietilä,1,3651,3651.0
Mari Kangasniemi,1,3651,3651.0
Martin Johnson,1,3651,3651.0
Carlos Flavián,2,3625,1812.5
Laurence Brooks,3,3609,1203.0
Francesco De Pellegrini,1,3545,3545.0
Sabrina Sicari,1,3545,3545.0
Imrich Chlamtac,1,3545,3545.0
Daniele Miorandi,1,3545,3545.0
Fevzi Okumus,1,3522,3522.0
Margherita Pagani,1,3522,3522.0
Paul Latreille,1,3522,3522.0
Paul Walton,1,3522,3522.0
Manoj Tiwari,1,3522,3522.0
Scott W. Cunningham,1,3522,3522.0
Manju Ahuja,1,3522,3522.0
Nishith Pathak,1,3522,3522.0
Robin Gauld,1,3522,3522.0
Mousa Ahmad Albashrawi,1,3522,3522.0
Emma Slade,1,3522,3522.0
Emmanuel Mogaji,1,3522,3522.0
Wil van der Aalst,1,3522,3522.0
Hanaa Albanna,1,3522,3522.0
Yanqing Duan,1,3522,3522.0
Vishnupriya Raghavan,1,3522,3522.0
Viswanath Venkatesh,1,3522,3522.0
Jan Pries‐Heje,1,3522,3522.0
Iris Junglas,1,3522,3522.0
Denis Dennehy,1,3522,3522.0
Adil S. Al-Busaidi,1,3522,3522.0
Abbas Mardani,1,3522,3522.0
Kai R. Larsen,1,3522,3522.0
Alexander Richter,1,3522,3522.0
Sunil Mithas,1,3522,3522.0
Marcello Mariani,1,3522,3522.0
Anand Jeyaraj,1,3522,3522.0
Ryan Wright,1,3522,3522.0
Sangeeta Khorana,1,3522,3522.0
Mei‐Chih Hu,1,3522,3522.0
Sven‐Volker Rehm,1,3522,3522.0
Sven Laumer,1,3522,3522.0
Indranil Bose,1,3522,3522.0
Tegwen Malik,1,3522,3522.0
Varun Grover,1,3522,3522.0
Jeretta Horn Nord,1,3522,3522.0
Tom Crick,1,3522,3522.0
Lemuria Carter,1,3522,3522.0
Morgan Cheatham,1,3462,3462.0
Rimel Aggabao,1,3462,3462.0
Camille Elepaño,1,3462,3462.0
Arielle Medenilla,1,3462,3462.0
Czarina Sillos,1,3462,3462.0
Maria Madriaga,1,3462,3462.0
Lorie De Leon,1,3462,3462.0
Tiffany H. Kung,1,3462,3462.0
Giezel Diaz-Candido,1,3462,3462.0
James Maningo,1,3462,3462.0
Victor Tseng,1,3462,3462.0
Taghi M. Khoshgoftaar,6,3403,567.1666666666666
Fan Liu,3,3370,1123.3333333333333
Christos Masouros,3,3370,1123.3333333333333
Malik Sallam,5,3219,643.8
Lajos Hanzo,2,3192,1596.0
Virginia Dignum,2,3018,1509.0
Ricardo Vinuesa,2,3017,1508.5
Yonina C. Eldar,1,3011,3011.0
Yuanhao Cui,1,3011,3011.0
Tony Xiao Han,1,3011,3011.0
Stefano Buzzi,1,3011,3011.0
David Flynn,3,2971,990.3333333333334
Ewout W. Steyerberg,2,2963,1481.5
Iqbal H. Sarker,13,2945,226.53846153846155
Valentin Robu,2,2936,1468.0
Max Tegmark,2,2897,1448.5
Mariarosaria Taddeo,13,2847,219.0
Simone D. Langhans,1,2846,2846.0
Madeline Balaam,1,2846,2846.0
Sami Domisch,1,2846,2846.0
Anna Felländer,1,2846,2846.0
Iolanda Leite,1,2846,2846.0
Francesco Fuso Nerini,1,2846,2846.0
Hossein Azizpour,1,2846,2846.0
Elvira Ismagilova,2,2832,1416.0
H. Vincent Poor,6,2752,458.6666666666667
Yichuan Wang,3,2730,910.0
Tan Yiğitcanlar,16,2707,169.1875
Hisham A. Badreldin,2,2695,1347.5
Abdulkareem Albekairy,1,2694,2694.0
Shuroug A. Alowais,1,2694,2694.0
Majed S. Al Yami,1,2694,2694.0
Shmeylan Al Harbi,1,2694,2694.0
Sahar S. Alghamdi,1,2694,2694.0
Atheer Aldairem,1,2694,2694.0
Mohammed Alrashed,1,2694,2694.0
Nada Alsuhebany,1,2694,2694.0
Khalid Bin Saleh,1,2694,2694.0
Tariq Alqahtani,1,2694,2694.0
Abdulrahman Alshaya,1,2694,2694.0
Sumaya N. Almohareb,1,2694,2694.0
M. Jorge Cardoso,2,2678,1339.0
Spyridon Bakas,3,2663,887.6666666666666
Micah Sheller,3,2663,887.6666666666666
Philipp A. Rauschnabel,2,2591,1295.5
Ronald M. Summers,2,2591,1295.5
Guido Bertolini,3,2584,861.3333333333334
Erwin J. O. Kompanje,2,2583,1291.5
Andrew I.R. Maas,2,2560,1280.0
Deepak Gupta,2,2542,1271.0
Ari Ercole,2,2539,1269.5
Jari Salo,2,2538,1269.0
Daguang Xu,2,2534,1267.0
Alexandra Bražinová,2,2523,1261.5
Avi Goldfarb,3,2503,834.3333333333334
Catherine E. Tucker,3,2503,834.3333333333334
Naomi Ketharanathan,1,2495,2495.0
Ronald Bartels,1,2495,2495.0
Norberto Andaluz,1,2495,2495.0
Nino Stocchetti,1,2495,2495.0
Geoffrey T. Manley,1,2495,2495.0
P. David Adelson,1,2495,2495.0
Olli Tenovuo,1,2495,2495.0
Ronny Beer,1,2495,2495.0
F. J. Belda,1,2495,2495.0
Russell L. Gruen,1,2495,2495.0
Murray B. Stein,1,2495,2495.0
Nada Anđelić,1,2495,2495.0
Rolf Rossaint,1,2495,2495.0
Braden Te Ao,1,2495,2495.0
Aarno Palotie,1,2495,2495.0
Nicole von Steinbüchel,1,2495,2495.0
Audny Anke,1,2495,2495.0
András Büki,1,2495,2495.0
Arjan Bastiaan van As,1,2495,2495.0
Anna Degli Antoni,1,2495,2495.0
Peter Bragge,1,2495,2495.0
Paul M. Parizel,1,2495,2495.0
Randall M. Chesnut,1,2495,2495.0
Ramon Diaz‐Arrastia,1,2495,2495.0
Peter Smielewski,1,2495,2495.0
A. Azaševac,1,2495,2495.0
Endre Czeiter,1,2495,2495.0
Antonio Belli,1,2495,2495.0
Philippe Azouvi,1,2495,2495.0
Luciana Mascia,1,2495,2495.0
Luigi Beretta,1,2495,2495.0
M. J. Bell,1,2495,2495.0
Camelia Baciu,1,2495,2495.0
Marek Majdán,1,2495,2495.0
Marek Czosnyka,1,2495,2495.0
Marc Maegele,1,2495,2495.0
Alice Theadom,1,2495,2495.0
Mark Coburn,1,2495,2495.0
Maria Luisa Azzolini,1,2495,2495.0
Bo‐Michael Bellander,1,2495,2495.0
Rémy Bellier,1,2495,2495.0
Miriam H. Beauchamp,1,2495,2495.0
Sean Hill,1,2495,2495.0
Linda Lanyon,1,2495,2495.0
Giuseppe Citerio,1,2495,2495.0
Steven Laureys,1,2495,2495.0
Kristine Yaffe,1,2495,2495.0
Krisztina Amrein,1,2495,2495.0
Laura E. González-Lara,1,2495,2495.0
Karen Barlow,1,2495,2495.0
Suzanne Polinder,1,2495,2495.0
A. Tamara Crowder,1,2495,2495.0
Kevin Wang,1,2495,2495.0
Dick Tibboel,1,2495,2495.0
Judith Allanson,1,2495,2495.0
Charles McFadyen,1,2495,2495.0
Stefania Mondello,1,2495,2495.0
Fiona Lecky,1,2495,2495.0
Lindsay Wilson,1,2495,2495.0
Louis Puybasset,1,2495,2495.0
Simon Stanworth,1,2495,2495.0
Jill A. Marsteller,1,2495,2495.0
Jiyao Jiang,1,2495,2495.0
Todd E. Rasmussen,1,2495,2495.0
Joseph T. Giacino,1,2495,2495.0
Thierry Bénard,1,2495,2495.0
Thomas A. van Essen,1,2495,2495.0
Valzerda Beqiri,1,2495,2495.0
Ursula Bauerfeind,1,2495,2495.0
Guoyi Gao,1,2495,2495.0
Gérard Audibert,1,2495,2495.0
Jed A. Hartings,1,2495,2495.0
Jens P. Dreier,1,2495,2495.0
Jeannette A. E. Söderberg,1,2495,2495.0
Valery L. Feigin,1,2495,2495.0
Vanni Agnoletti,1,2495,2495.0
D. James Cooper,1,2495,2495.0
Virginia Newcombe,1,2495,2495.0
James Piercy,1,2495,2495.0
Françis Bernard,1,2495,2495.0
W. Huw Williams,1,2495,2495.0
William Stewart,1,2495,2495.0
Walter Videtta,1,2495,2495.0
Darcy Beer,1,2495,2495.0
Wilco C. Peul,1,2495,2495.0
Habib Benali,1,2495,2495.0
Hadie Adams,1,2495,2495.0
David Menon,1,2495,2495.0
Hester F. Lingsma,1,2495,2495.0
Harvey S. Levin,1,2495,2495.0
Ann‐Christine Duhaime,1,2495,2495.0
Anneliese Synnot,1,2495,2495.0
Rafael Badenes,1,2495,2495.0
Josh Cowls,7,2489,355.57142857142856
Abdallah Khreishah,2,2462,1231.0
Issa Khalil,2,2462,1231.0
Philip S. Yu,5,2446,489.2
Xu Chen,2,2446,1223.0
Merlinda Andoni,2,2440,1220.0
Anjala S. Krishen,2,2429,1214.5
Ala Al‐Fuqaha,3,2413,804.3333333333334
Jonny Hancox,1,2394,2394.0
Bennett A. Landman,1,2394,2394.0
Klaus Maier-Hein,1,2394,2394.0
Nicola Rieke,1,2394,2394.0
Andrew Trask,1,2394,2394.0
Wenqi Li,1,2394,2394.0
Sébastien Ourselin,1,2394,2394.0
Holger R. Roth,1,2394,2394.0
Fausto Milletarì,1,2394,2394.0
Shadi Albarqouni,1,2394,2394.0
Mathieu N. Galtier,1,2394,2394.0
Maximilian Baust,1,2394,2394.0
Jennifer Rowley,1,2392,2392.0
Zhong Fan,2,2392,1196.0
Varsha Jain,1,2392,2392.0
Hajer Kéfi,1,2392,2392.0
Jamie Carlson,1,2392,2392.0
Mohammad M. Rahman,1,2392,2392.0
Raffaele Filieri,1,2392,2392.0
Jenna Jacobson,1,2392,2392.0
Vikram Kumar,1,2392,2392.0
David L. Hughes,1,2392,2392.0
Gina A. Tran,1,2392,2392.0
Heikki Karjaluoto,1,2392,2392.0
Dhruv Grewal,2,2376,1188.0
Aidan Fuller,1,2357,2357.0
Chris Barlow,1,2357,2357.0
Charles Day,1,2357,2357.0
David Jenkins,1,2329,2329.0
Andrew Peacock,1,2329,2329.0
Peter McCallum,1,2329,2329.0
Dale Geach,1,2329,2329.0
Simone Abram,1,2329,2329.0
José van Dijck,2,2318,1159.0
Thippa Reddy Gadekallu,11,2312,210.1818181818182
The All of Us Research Program Investigators,1,2272,2272.0
John Krogstie,7,2259,322.7142857142857
Timna Breßgott,1,2239,2239.0
Abhijit Guha,1,2239,2239.0
Thomas H. Davenport,1,2239,2239.0
Roberto Confalonieri,3,2223,741.0
Zuochao Dou,1,2195,2195.0
Eyad Almaita,1,2195,2195.0
Ahmad Sawalmeh,1,2195,2195.0
Noor Shamsiah Othman,1,2195,2195.0
Hazim Shakhatreh,1,2195,2195.0
Quoc‐Viet Pham,5,2182,436.4
Mufti Mahmud,3,2164,721.3333333333334
Zhiguo Ding,2,2152,1076.0
Francesco Piccialli,1,2148,2148.0
Salvatore Cuomo,1,2148,2148.0
Fabio Giampaolo,1,2148,2148.0
Vincenzo Schiano Di Cola,1,2148,2148.0
Maziar Raissi,1,2148,2148.0
Gianluigi Rozza,1,2148,2148.0
Xiaohu You,3,2125,708.3333333333334
Simon Elias Bibri,9,2121,235.66666666666666
Junshan Zhang,1,2118,2118.0
Zhi Zhou,1,2118,2118.0
En Li,1,2118,2118.0
Ke Luo,1,2118,2118.0
Liekang Zeng,1,2118,2118.0
Claudia Marante,1,2104,2104.0
David Marz,1,2104,2104.0
René Bohnsack,1,2104,2104.0
André Hanelt,1,2104,2104.0
Dusit Niyato,9,2098,233.11111111111111
Georgios Kaissis,3,2080,693.3333333333334
Kim‐Kwang Raymond Choo,10,2059,205.9
Borko Furht,3,2050,683.3333333333334
Amir Hussain,3,2045,681.6666666666666
Jantina de Vries,3,2032,677.3333333333334
Miles Brundage,3,2016,672.0
Connor Shorten,2,2008,1004.0
Yongming Huang,2,2005,1002.5
Xuemin Shen,2,2004,1002.0
Andrew D. Selbst,4,1995,498.75
Won‐Joo Hwang,3,1975,658.3333333333334
Jessica Morley,6,1972,328.6666666666667
Dario Amodei,2,1944,972.0
Marco Di Renzo,2,1897,948.5
Haiming Wang,1,1884,1884.0
Cheng‐Xiang Wang,1,1884,1884.0
Xiqi Gao,1,1884,1884.0
Peiying Zhu,1,1884,1884.0
John Thompson,1,1884,1884.0
Erik G. Larsson,1,1884,1884.0
Xiuming Zhu,1,1884,1884.0
Chuan Zhang,1,1884,1884.0
Wen Tong,1,1884,1884.0
Yunfei Chen,1,1884,1884.0
Zixin Li,1,1884,1884.0
Harald Haas,1,1884,1884.0
Riccardo Guidotti,2,1864,932.0
Matti Mäntymäki,6,1858,309.6666666666667
Tiago M. Fernández‐Caramés,7,1838,262.57142857142856
Athanasios V. Vasilakos,3,1821,607.0
Rickmer Braren,2,1796,898.0
Marcus R. Makowski,2,1796,898.0
Xiapu Luo,2,1786,893.0
Andrew Miller,3,1774,591.3333333333334
Ke Wang,2,1773,886.5
Tarik Taleb,3,1770,590.0
Bin Han,2,1768,884.0
Mohammad Asif Habibi,2,1768,884.0
Mika Ylianttila,5,1747,349.4
Thilo Hagendorff,3,1744,581.3333333333334
Hilary C. Martin,1,1740,1740.0
Tuuli Lappalainen,1,1740,1740.0
Nchangwi Syntia Munung,1,1740,1740.0
Daniëlle Posthuma,1,1740,1740.0
Qin Qin Huang,1,1740,1740.0
Alicia R. Martin,1,1740,1740.0
Yukinori Okada,1,1740,1740.0
Emil Uffelmann,1,1740,1740.0
Benjamin C. M. Fung,2,1739,869.5
Peter J. Campbell,2,1738,869.0
Cecilia Ka Yuk Chan,3,1736,578.6666666666666
Rhonda Hadi,1,1732,1732.0
Gil Appel,1,1732,1732.0
Lauren Grewal,1,1732,1732.0
Andrew T. Stephen,1,1732,1732.0
Anthony R. Green,1,1729,1729.0
Edward Avezov,1,1729,1729.0
Amy V. Jones,1,1729,1729.0
Patrick Tarpey,1,1729,1729.0
Brian J.P. Huntly,1,1729,1729.0
Jonathan Hinton,1,1729,1729.0
Jyoti Nangalia,1,1729,1729.0
Karoline Kollmann,1,1729,1729.0
Anna L. Godfrey,1,1729,1729.0
Heather P. Harding,1,1729,1729.0
Peter Van Loo,1,1729,1729.0
Keiran Raine,1,1729,1729.0
David G. Kent,1,1729,1729.0
Sheral Raina Tauro,1,1729,1729.0
David Bowen,1,1729,1729.0
Francesca Nice,1,1729,1729.0
Calum T Goudie,1,1729,1729.0
Adam P. Butler,1,1729,1729.0
David Bloxham,1,1729,1729.0
Cathy MacLean,1,1729,1729.0
David C. Wedge,1,1729,1729.0
Aziz Aziz,1,1729,1729.0
Claire Harrison,1,1729,1729.0
Iñigo Martincorena,1,1729,1729.0
Elli Papaemmanuil,1,1729,1729.0
Kim Orchard,1,1729,1729.0
Michele Leonardo Bianchi,1,1729,1729.0
Mel Greaves,1,1729,1729.0
D. Dimitropoulou,1,1729,1729.0
David Ron,1,1729,1729.0
Sarah O’Meara,1,1729,1729.0
John D. Fitzpatrick,1,1729,1729.0
Daniel Jones,1,1729,1729.0
Gunes Gundem,1,1729,1729.0
Alessandro M. Vannucchi,1,1729,1729.0
Stuart McLaren,1,1729,1729.0
Paola Guglielmelli,1,1729,1729.0
Christina A. Ortmann,1,1729,1729.0
Jon W. Teague,1,1729,1729.0
Clodagh Keohane,1,1729,1729.0
Laura Mudie,1,1729,1729.0
Ben Robinson,1,1729,1729.0
Charles Massie,1,1729,1729.0
E. Joanna Baxter,1,1729,1729.0
Kate Hill,1,1729,1729.0
Ming‐Qing Du,1,1729,1729.0
Stephen J. Loughran,1,1729,1729.0
Mark Maddison,1,1729,1729.0
Yvonne Silber,1,1729,1729.0
Nicholas C.P. Cross,1,1729,1729.0
J. Li,1,1729,1729.0
Qiang Yang,5,1722,344.4
Zehui Xiong,3,1710,570.0
Melissa Bond,4,1709,427.25
Benjamin K. Sovacool,3,1703,567.6666666666666
Muhammad Imran,9,1702,189.11111111111111
Sabyasachi Dash,1,1701,1701.0
Mohit Sharma,1,1701,1701.0
Sandeep Kaushik,1,1701,1701.0
Sushil Kumar Shakyawar,1,1701,1701.0
"Rocha, Jorge",1,1695,1695.0
"Abrantes, Patrícia",1,1695,1695.0
Khan Muhammad,3,1691,563.6666666666666
Reza M. Parizi,3,1682,560.6666666666666
Qiaoyan Wen,1,1674,1674.0
Xiaoqi Li,1,1674,1674.0
Peng Jiang,1,1674,1674.0
Ting Chen,1,1674,1674.0
Pardeep Kumar,3,1643,547.6666666666666
Rui Chen,1,1634,1634.0
Geoffrey Wood,2,1612,806.0
Biplab Sikdar,3,1609,536.3333333333334
Abhinandan Singal,1,1608,1608.0
Indro Spinelli,1,1608,1608.0
Divyansh Goel,1,1608,1608.0
Kaizhu Huang,1,1608,1608.0
Simone Scardapane,1,1608,1608.0
Atmesh Mahapatra,1,1608,1608.0
Gautam Srivastava,7,1601,228.71428571428572
Pawani Porambage,5,1573,314.6
Kelly P. Williams,1,1563,1563.0
Gemma R Hoad,1,1563,1563.0
Fiona S. L. Brinkman,1,1563,1563.0
Geoffrey L. Winsor,1,1563,1563.0
Claire Bertelli,1,1563,1563.0
Matthew R. Laird,1,1563,1563.0
Britney Y. Lau,1,1563,1563.0
Paula Fraga‐Lamas,6,1548,258.0
Wojciech Samek,4,1540,385.0
Shaker El–Sappagh,2,1531,765.5
Tamer Abuhmed,2,1531,765.5
Abdul Rehman Javed,9,1523,169.22222222222223
Karel Lenc,2,1520,760.0
Roman Ring,2,1520,760.0
Nour Moustafa,11,1517,137.9090909090909
Wei Jiang,2,1509,754.5
Brett A. Becker,4,1503,375.75
Mohamed Amine Ferrag,8,1492,186.5
Λέανδρος Μαγλαράς,10,1492,149.2
Qusay H. Mahmoud,4,1476,369.0
Ming‐Hui Huang,1,1466,1466.0
Roland T. Rust,1,1466,1466.0
Hans Dieter Schotten,1,1461,1461.0
Maha Bali,4,1459,364.75
Aras Bozkurt,4,1459,364.75
Ping Wang,3,1455,485.0
Nan Liu,2,1453,726.5
Khaled Salah,8,1435,179.375
Heidy Khlaaf,1,1418,1418.0
Heewoo Jun,1,1418,1418.0
Ilya Sutskever,1,1418,1418.0
Peter Welinder,1,1418,1418.0
Nikolas Tezak,1,1418,1418.0
Andrew N. Carr,1,1418,1418.0
Alethea Power,1,1418,1418.0
Alex Paino,1,1418,1418.0
Pamela Mishkin,1,1418,1418.0
Greg Brockman,1,1418,1418.0
Gretchen Krueger,1,1418,1418.0
Qiming Yuan,1,1418,1418.0
Elizabeth A. Barnes,1,1418,1418.0
William S. Saunders,1,1418,1418.0
Philippe Tillet,1,1418,1418.0
Girish Sastry,1,1418,1418.0
I. Babuschkin,1,1418,1418.0
Alex Nichol,1,1418,1418.0
William H. Guss,1,1418,1418.0
Christopher Hesse,1,1418,1418.0
Fotios Chantzis,1,1418,1418.0
Dave Cummings,1,1418,1418.0
Alex Ray,1,1418,1418.0
Katie Mayer,1,1418,1418.0
Wojciech Zaremba,1,1418,1418.0
Jared Kaplan,1,1418,1418.0
Mira Murati,1,1418,1418.0
Mohammad Bavarian,1,1418,1418.0
Clemens Winter,1,1418,1418.0
Mark Chen,1,1418,1418.0
Scott Gray,1,1418,1418.0
Felipe Petroski Such,1,1418,1418.0
Brooke Chan,1,1418,1418.0
Nick Ryder,1,1418,1418.0
Shantanu Jain,1,1418,1418.0
Nicholas Joseph,1,1418,1418.0
Yuri Burda,1,1418,1418.0
Joshua Achiam,1,1418,1418.0
Ariel Herbert-Voss,1,1418,1418.0
Henrique Pondé de Oliveira Pinto,1,1418,1418.0
Michael Petrov,1,1418,1418.0
Mikhail Pavlov,1,1418,1418.0
Matthias Plappert,1,1418,1418.0
Raul Puri,1,1418,1418.0
Jan Leike,1,1418,1418.0
Vedant Misra,1,1418,1418.0
Matthew M. Knight,1,1418,1418.0
Sam McCandlish,1,1418,1418.0
Jie Tang,1,1418,1418.0
Evan Morikawa,1,1418,1418.0
Jerry Tworek,1,1418,1418.0
Bob McGrew,1,1418,1418.0
Harrison Edwards,1,1418,1418.0
Łukasz Kaiser,1,1418,1418.0
Suchir Balaji,1,1418,1418.0
Alec Radford,1,1418,1418.0
Sajid Ali,1,1414,1414.0
José M. Alonso,1,1414,1414.0
Guido Orzes,2,1391,695.5
Javier Álvarez‐Gálvez,1,1390,1390.0
Víctor Suárez-Lledó,1,1390,1390.0
Mutlu Cukurova,3,1388,462.6666666666667
Sara Gerke,4,1373,343.25
Victor Chang,8,1372,171.5
Jie Zhang,4,1372,343.0
Chang Su,1,1369,1369.0
Fei Wang,1,1369,1369.0
Jiang Bian,1,1369,1369.0
Benjamin S. Glicksberg,1,1369,1369.0
Peter Walker,1,1369,1369.0
Adam Joinson,3,1368,456.0
Vikas Saxena,1,1362,1362.0
Pranav Goyal,1,1362,1362.0
Divyansh Jain,1,1362,1362.0
Daniel Rueckert,2,1341,670.5
Chunguang Bai,1,1338,1338.0
Patrick Dallasega,1,1338,1338.0
Joseph Sarkis,1,1338,1338.0
Bryan Ford,2,1338,669.0
Juliana Elisa Raffaghelli,3,1335,445.0
David A. Ellis,2,1309,654.5
Linglong Dai,1,1308,1308.0
Sheng Chen,1,1308,1308.0
Bichai Wang,1,1308,1308.0
Zhaocheng Wang,1,1308,1308.0
Abdelouahid Derhab,6,1306,217.66666666666666
Josep M. Guerrero,4,1296,324.0
Bélanger,1,1289,1289.0
Robert E. Crossler,1,1289,1289.0
Timo Minssen,5,1284,256.8
Daniel Rückert,1,1281,1281.0
Han Yu,5,1270,254.0
Mohammad Hammoudeh,8,1269,158.625
Inioluwa Deborah Raji,3,1269,423.0
Michael D. Williams,1,1261,1261.0
William Isaac,2,1261,630.5
Maanak Gupta,3,1251,417.0
David Haussler,3,1242,414.0
Zhitao Gong,1,1239,1239.0
Eliza Rutherford,1,1239,1239.0
Sina Samangooei,1,1239,1239.0
Sahand Sharifzadeh,1,1239,1239.0
Jean-Baptiste Alayrac,1,1239,1239.0
Ricardo Barreira,1,1239,1239.0
Pauline Luc,1,1239,1239.0
Jeff Donahue,1,1239,1239.0
Andrew Brock,1,1239,1239.0
Tengda Han,1,1239,1239.0
Antoine Miech,1,1239,1239.0
Aida Nematzadeh,1,1239,1239.0
Mikołaj Bińkowski,1,1239,1239.0
Jacob Menick,1,1239,1239.0
Sebastian Borgeaud,1,1239,1239.0
Katie Millican,1,1239,1239.0
Marianne Monteiro,1,1239,1239.0
Arthur Mensch,1,1239,1239.0
Malcolm Reynolds,1,1239,1239.0
Karen Simonyan,1,1239,1239.0
Andrew Zisserman,1,1239,1239.0
Oriol Vinyals,1,1239,1239.0
Serkan Cabi,1,1239,1239.0
Yana Hasson,1,1239,1239.0
Iain Barr,1,1239,1239.0
Maria Faurholt‐Jepsen,2,1238,619.0
Lars Vedel Kessing,2,1238,619.0
Ren Liu,2,1234,617.0
Dawn Song,3,1232,410.6666666666667
Belle Dang,2,1232,616.0
Yvonne Hong,2,1232,616.0
Andy Nguyen,2,1232,616.0
Sorelle A. Friedler,1,1229,1229.0
Suresh Venkatasubramanian,1,1229,1229.0
danah boyd,1,1229,1229.0
Janet Vertesi,1,1229,1229.0
Sudeep Tanwar,9,1227,136.33333333333334
Amir H. Gandomi,3,1226,408.6666666666667
Edward W. Felten,1,1223,1223.0
Jeremy Clark,1,1223,1223.0
Arvind Narayanan,1,1223,1223.0
Joshua A. Kroll,1,1223,1223.0
Joseph Bonneau,1,1223,1223.0
Peng Chen,2,1219,609.5
Praveen Kumar Reddy Maddikunta,5,1216,243.2
Lukasz Piwek,1,1215,1215.0
Sally Andrews,1,1215,1215.0
Jia Liu,2,1205,602.5
Sachin Kumar,1,1204,1204.0
Mikhail Zymbler,1,1204,1204.0
Prayag Tiwari,1,1204,1204.0
Reinhold H. Dauskardt,1,1202,1202.0
Xian Jun Loh,1,1202,1202.0
Dae‐Gyo Seo,1,1202,1202.0
Xu Cheng,1,1202,1202.0
Xue Feng,1,1202,1202.0
Xuemei Sun,1,1202,1202.0
Guozhen Shen,1,1202,1202.0
Benjamin C. K. Tee,1,1202,1202.0
Tran Quang Trung,1,1202,1202.0
Meng Su,1,1202,1202.0
Cuiyuan Liang,1,1202,1202.0
Jinxing Li,1,1202,1202.0
Unyong Jeong,1,1202,1202.0
John A. Rogers,1,1202,1202.0
Dae‐Hyeong Kim,1,1202,1202.0
Zhiyuan Liu,1,1202,1202.0
Zhuangjian Liu,1,1202,1202.0
Xing Sheng,1,1202,1202.0
Eleni Stavrinidou,1,1202,1202.0
Deji Akinwande,1,1202,1202.0
Pooi See Lee,1,1202,1202.0
Chong‐an Di,1,1202,1202.0
Xingyu Jiang,1,1202,1202.0
Anne M. Andrews,1,1202,1202.0
